px,pz,batter,pitchcall,pitch,ev,la,dist
-0.23039,1.49188,Example LHB,FoulBall,Cutter,53.18039,14.809222,74.63053
-0.40341,0.84328,Example RHB,BallCalled,ChangeUp,NA,NA,NA
-1.26964,3.42551,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.27602,1.00212,Example RHB,FoulBall,ChangeUp,NA,NA,NA
0.6356,3.91251,Example LHB,BallCalled,Fastball,NA,NA,NA
-1.6718,3.11173,Example LHB,BallCalled,Slider,NA,NA,NA
0.09688,1.43816,Example RHB,InPlay,Fastball,107.91737,10.57153,210.01225
0.95848,2.99969,Example RHB,InPlay,Fastball,80.73952,49.24836,253.01453
-0.22979,2.15285,Example RHB,FoulBall,ChangeUp,NA,NA,NA
0.56081,3.75159,Example RHB,BallCalled,Fastball,NA,NA,NA
0.08193,3.43914,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.55118,1.95214,Example RHB,FoulBall,Fastball,98.69329,30.089568,341.24299
-0.60065,1.66753,Example RHB,InPlay,Slider,104.13702,21.136099,396.78291
-0.75737,1.67252,Example RHB,StrikeCalled,Fastball,NA,NA,NA
-1.73886,0.52293,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.5181,1.67056,Example RHB,FoulBall,Fastball,62.98202,-43.028206,3.49635
-0.43611,1.73428,Example RHB,InPlay,Fastball,95.48444,-7.7588,15.97128
