"Inn","Score","Out","RoB","Pit.cnt.","R.O","X.Bat","Batter","Pitcher","wWPA","wWE","Play.Description","Date","Result","value"
"b3","0-2","2","1-3","5,(2-2) BBCCC","O","SFG","Barry Bonds","Russ Ortiz","-6%","27%","Strikeout Looking",2004-04-28,"Strikeout",1
"b4","5-2","1","1-3","5,(3-1) ..C>B.III","","SFG","Barry Bonds","Antonio Alfonseca","1%","90%","Intentional Walk; Grissom to 2B",2004-04-28,"Walk",1
"b5","10-4","2","---","6,(3-2) BBSSBX","O","SFG","Barry Bonds","Antonio Alfonseca","0%","97%","Groundout: SS-1B",2004-04-28,"Groundout",1
"b8","10-6","0","---","1,(0-0) ..X","","SFG","Barry Bonds","C.J. Nitkowski","0%","99%","Single to RF (Fly Ball)",2004-04-28,"Single",1
"b2","0-0","0","---","4,(2-1) BFBX","","SFG","Barry Bonds","Brad Penny","-4%","41%","Single to RF (Ground Ball)",2004-04-29,"Single",1
"b4","0-2","1","--3","4,(3-0) IIII","","SFG","Barry Bonds","Brad Penny","-3%","60%","Intentional Walk",2004-04-29,"Walk",1
"b6","0-2","1","---","6,(3-2) BCBCBX","R","SFG","Barry Bonds","Brad Penny","-13%","64%","Home Run (Fly Ball to CF-RF)",2004-04-29,"Home Run",1
"b8","2-3","0","12-","6,(3-2) .BBCBCB","","SFG","Barry Bonds","Matt Perisho","-17%","29%","Walk; Mohr to 3B; Grissom to 2B",2004-04-29,"Walk",1
"b1","1-4","1","--3","5,(3-1) BC*BBI","","SFG","Barry Bonds","Dontrelle Willis","2%","33%","Intentional Walk",2004-04-30,"Walk",1
"b2","7-9","0","1--","4,(3-0) BBBB","","SFG","Barry Bonds","Tommy Phelps","6%","45%","Walk; Grissom to 2B",2004-04-30,"Walk",1
"b3","9-9","0","12-","4,(2-1) FBBX","OO","SFG","Barry Bonds","Nate Bump","-11%","54%","Ground Ball Double Play: SS-1B; Dallimore to 3B",2004-04-30,"Groundout",1
"b5","9-9","1","123","5,(3-1) ..BFBBB","R","SFG","Barry Bonds","Matt Perisho","11%","79%","Walk; Cruz Scores; Dallimore to 3B; Grissom to 2B",2004-04-30,"Walk",1
"b7","12-9","0","---","1,(0-0) X","O","SFG","Barry Bonds","Matt Perisho","-1%","93%","Flyball: LF",2004-04-30,"Flyball",1
"b2","0-2","0","---","2,(1-0) BX","O","SFG","Barry Bonds","Carl Pavano","-3%","32%","Lineout: CF (Deep CF)",2004-05-01,"Lineout",1
"b3","1-2","2","---","4,(3-0) IIII","","SFG","Barry Bonds","Carl Pavano","2%","41%","Intentional Walk",2004-05-01,"Walk",1
"b5","2-3","1","---","4,(3-0) IIII","","SFG","Barry Bonds","Carl Pavano","4%","42%","Intentional Walk",2004-05-01,"Walk",1
"b7","2-3","2","--3","4,(3-0) IIII","","SFG","Barry Bonds","Carl Pavano","3%","37%","Intentional Walk",2004-05-01,"Walk",1
"b8","6-3","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Armando Benitez","0%","97%","Intentional Walk",2004-05-01,"Walk",1
"b11","8-8","0","---","6,(3-2) ...BFFBBB","","SFG","Barry Bonds","Matt Perisho","7%","72%","Walk",2004-05-02,"Walk",1
"t2","0-0","0","---","1,(0-0) X","O","SFG","Barry Bonds","Al Leiter","2%","52%","Flyball: LF",2004-05-06,"Flyball",1
"t4","0-0","1","12-","2,(1-0) BX","O","SFG","Barry Bonds","Al Leiter","5%","51%","Foul Popfly: C (Behind Home)",2004-05-06,"Foul Out",1
"t7","0-0","1","---","6,(3-2) 1BBCF.BX","O","SFG","Barry Bonds","Al Leiter","3%","57%","Flyball: RF",2004-05-06,"Flyball",1
"t9","1-1","2","---","4,(3-0) IIII","","SFG","Barry Bonds","Braden Looper","-3%","57%","Intentional Walk",2004-05-06,"Walk",1
"t11","1-1","2","12-","4,(3-0) IIII","","SFG","Barry Bonds","Mike Stanton","-6%","47%","Intentional Walk; Alfonzo to 3B; Grissom to 2B",2004-05-06,"Walk",1
"t2","0-0","0","---","1,(0-0) X","O","SFG","Barry Bonds","Cory Lidle","-2%","48%","Groundout: SS-1B",2004-05-07,"Groundout",1
"t5","0-0","0","---","1,(0-0) X","O","SFG","Barry Bonds","Cory Lidle","-3%","47%","Groundout: 1B unassisted",2004-05-07,"Groundout",1
"t7","0-0","2","---","4,(3-0) IIII","","SFG","Barry Bonds","Cory Lidle","2%","45%","Intentional Walk",2004-05-07,"Walk",1
"t8","5-0","2","-2-","5,(3-1) .BFBBB","","SFG","Barry Bonds","Phil Norton","0%","98%","Walk",2004-05-07,"Walk",1
"t1","1-0","2","---","2,(1-0) BX","O","SFG","Barry Bonds","Paul Wilson","1%","45%","Flyball: LF",2004-05-08,"Flyball",1
"t3","2-2","2","---","2,(0-1) CX","O","SFG","Barry Bonds","Paul Wilson","1%","56%","Lineout: RF",2004-05-08,"Lineout",1
"t5","2-2","1","12-","4,(3-0) BBBB","","SFG","Barry Bonds","Paul Wilson","-8%","37%","Walk; Tucker to 3B; Hammonds to 2B",2004-05-08,"Walk",1
"t8","2-4","0","---","3,(1-1) .BFX","O","SFG","Barry Bonds","Todd Jones","4%","90%","Flyball: CF (Deep CF)",2004-05-08,"Flyball",1
"t1","2-0","1","---","6,(3-2) BCBFBS","O","SFG","Barry Bonds","Todd Van Poppel","-1%","66%","Strikeout Swinging",2004-05-09,"Strikeout",1
"t4","2-1","1","---","1,(0-0) X","O","SFG","Barry Bonds","Todd Van Poppel","-2%","59%","Groundout: 2B-1B (Short RF)",2004-05-09,"Groundout",1
"t6","2-1","1","1--","4,(2-1) BCBX","","SFG","Barry Bonds","John Riedling","4%","70%","Reached on E4/attempted forceout (Ground Ball); Grissom to 2B",2004-05-09,"Reached on Error",1
"t8","5-5","0","---","5,(0-2) .CCFFX","O","SFG","Barry Bonds","Todd Jones","-5%","45%","Flyball: LF",2004-05-09,"Flyball",1
"t10","6-6","0","---","4,(3-0) IIII","","SFG","Barry Bonds","Danny Graves","8%","58%","Intentional Walk",2004-05-09,"Walk",1
"b2","0-2","0","---","1,(0-0) X","","SFG","Barry Bonds","Kevin Millwood","-6%","59%","Double to 3B (Ground Ball to Short LF)",2004-05-11,"Double",1
"b4","1-5","0","-23","4,(3-0) IIII","","SFG","Barry Bonds","Kevin Millwood","-4%","68%","Intentional Walk",2004-05-11,"Walk",1
"b6","2-8","2","1--","1,(0-0) X","O","SFG","Barry Bonds","Kevin Millwood","1%","98%","Lineout: SS",2004-05-11,"Lineout",1
"b8","3-10","1","1--","6,(3-2) CBFBBX","O","SFG","Barry Bonds","Rheal Cormier","0%","100%","Flyball: LF (LF-CF)",2004-05-11,"Flyball",1
"b1","1-0","0","12-","3,(1-1) FBX","OO","SFG","Barry Bonds","Randy Wolf","-9%","63%","Ground Ball Double Play: 2B-SS-1B; Alfonzo to 3B",2004-05-12,"Groundout",1
"b4","2-2","0","---","2,(0-1) CX","O","SFG","Barry Bonds","Randy Wolf","-3%","53%","Flyball: LF",2004-05-12,"Flyball",1
