"year","Player","school","conference","1B","BB","HBP","IBB","SB","CS"
2013,"Garzillo, Mike","Lehigh","Patriot",26,20,1,0,15,0
2013,"Gray, Zach","Lehigh","Patriot",7,1,2,0,0,1
2013,"Kirschenbaum, Lance","Lehigh","Patriot",6,2,0,0,3,0
2013,"McKay, Tim","Lehigh","Patriot",13,8,1,0,2,1
2013,"O'Malley, Thomas","Lehigh","Patriot",0,2,0,0,1,0
2013,"Pacchioli, Justin","Lehigh","Patriot",37,15,4,0,11,1
2013,"Rinaldi, Anthony","Lehigh","Patriot",4,4,1,0,1,0
2013,"Turner, Casey","Lehigh","Patriot",41,25,8,0,15,4
2013,"Walshe, Patrick","Lehigh","Patriot",9,8,8,0,3,0
2013,"Wilt, Brandon","Lehigh","Patriot",21,14,2,0,14,2
2014,"Abeln, Joe","Lehigh","Patriot",41,14,13,0,9,3
2014,"Brong, Tyler","Lehigh","Patriot",28,15,3,1,1,1
2014,"Donnelly, Patrick","Lehigh","Patriot",31,4,0,0,7,3
2014,"Donovan, Connor","Lehigh","Patriot",4,3,2,0,1,0
2014,"Elson, John","Lehigh","Patriot",31,14,4,0,11,3
2014,"Faust, Connor","Lehigh","Patriot",29,10,10,0,7,2
2014,"Garzillo, Mike","Lehigh","Patriot",41,20,7,0,10,3
2014,"Kirschenbaum, Lance","Lehigh","Patriot",0,1,0,0,1,0
2014,"Kozemchak, Matt","Lehigh","Patriot",3,3,0,0,2,2
2014,"McKay, Tim","Lehigh","Patriot",23,8,2,0,2,0
2014,"Nalesnik, Jacen","Lehigh","Patriot",23,10,1,0,1,2
2014,"Pacchioli, Justin","Lehigh","Patriot",43,10,9,0,16,4
2014,"Price, Mackey","Lehigh","Patriot",5,0,0,0,1,0
2014,"Rinaldi, Anthony","Lehigh","Patriot",3,1,0,0,0,1
2014,"Walshe, Patrick","Lehigh","Patriot",3,6,1,0,1,0
2014,"Wilt, Brandon","Lehigh","Patriot",18,9,1,0,7,5
2014,"Young, David","Lehigh","Patriot",3,0,3,0,1,0
2015,"Bleming, James","Lehigh","Patriot",17,10,1,0,2,0
2015,"Donnelly, Patrick","Lehigh","Patriot",30,5,5,0,8,5
2015,"Elson, John","Lehigh","Patriot",25,20,2,1,4,5
2015,"Faust, Connor","Lehigh","Patriot",22,10,10,1,3,0
2015,"Fitzgerald, Stephen","Lehigh","Patriot",1,0,0,0,0,1
2015,"Garzillo, Mike","Lehigh","Patriot",42,18,7,1,15,3
2015,"Kersey, Chris","Lehigh","Patriot",1,1,0,0,1,0
2015,"McKay, Tim","Lehigh","Patriot",26,9,4,0,3,0
2015,"Nalesnik, Jacen","Lehigh","Patriot",45,15,5,0,8,2
2015,"Pacchioli, Justin","Lehigh","Patriot",51,38,14,5,31,7
2015,"Price, Mackey","Lehigh","Patriot",2,2,1,0,0,1
2015,"Rinaldi, Anthony","Lehigh","Patriot",13,8,12,0,2,1
2015,"Scarr, John","Lehigh","Patriot",11,5,1,0,0,1
2015,"Walshe, Patrick","Lehigh","Patriot",17,15,2,0,1,0
2015,"Young, David","Lehigh","Patriot",19,4,9,0,3,0
2016,"Bleming, James","Lehigh","Patriot",42,17,2,0,6,4
2016,"Bonshak, Ryan","Lehigh","Patriot",13,9,3,0,2,0
2016,"Butera, Chris","Lehigh","Patriot",6,0,0,0,1,0
2016,"Donnelly, Patrick","Lehigh","Patriot",45,9,2,0,1,1
2016,"Donovan, Connor","Lehigh","Patriot",26,15,5,3,0,1
2016,"Fitzgerald, Stephen","Lehigh","Patriot",3,6,0,0,3,0
2016,"Garzillo, Mike","Lehigh","Patriot",35,27,9,3,13,4
2016,"Nalesnik, Jacen","Lehigh","Patriot",46,23,8,1,9,1
2016,"Price, Mackey","Lehigh","Patriot",30,16,10,0,2,0
2016,"Rinaldi, Anthony","Lehigh","Patriot",16,4,2,0,3,1
2016,"Young, David","Lehigh","Patriot",44,14,9,1,3,2
2017,"Bleming, James","Lehigh","Patriot",36,22,5,0,8,4
2017,"Donnelly, Patrick","Lehigh","Patriot",29,13,0,0,4,0
2017,"Donovan, Connor","Lehigh","Patriot",25,13,13,0,0,1
2017,"Fitzgerald, Stephen","Lehigh","Patriot",3,12,2,0,2,1
2017,"Hand, Matt","Lehigh","Patriot",7,5,2,0,3,1
2017,"Kersey, Chris","Lehigh","Patriot",24,19,4,0,4,4
2017,"Kochmansky, Jake","Lehigh","Patriot",0,0,0,0,1,0
2017,"Maguire, Mike","Lehigh","Patriot",1,2,0,0,0,1
2017,"Malloy, Ryan","Lehigh","Patriot",5,5,1,0,1,1
2017,"Nalesnik, Jacen","Lehigh","Patriot",34,23,2,2,9,1
2017,"Rinaldi, Anthony","Lehigh","Patriot",24,11,3,0,3,1
2017,"Shanfeldt, Jeff","Lehigh","Patriot",22,24,2,0,0,1
2017,"Young, David","Lehigh","Patriot",32,10,7,0,1,0
2018,"Bleming, James","Lehigh","Patriot",34,25,5,2,11,0
2018,"Bonshak, Ryan","Lehigh","Patriot",24,22,7,0,1,3
2018,"Butera, Chris","Lehigh","Patriot",5,5,0,0,1,0
2018,"Gallo, Tony","Lehigh","Patriot",27,14,3,0,3,1
2018,"Hand, Matt","Lehigh","Patriot",16,5,3,0,2,0
2018,"Kersey, Chris","Lehigh","Patriot",41,31,2,0,10,3
2018,"Maguire, Mike","Lehigh","Patriot",28,31,2,0,10,1
2018,"Malloy, Ryan","Lehigh","Patriot",13,5,1,0,1,1
2018,"McKenna, Quinn","Lehigh","Patriot",13,13,0,0,2,1
2018,"Rapoport, Blake","Lehigh","Patriot",19,13,1,0,4,2
2019,"Carlson, Chase","Lehigh","Patriot",7,5,1,0,1,1
2019,"Cichocki, Eric","Lehigh","Patriot",17,11,10,0,2,0
2019,"Gallo, Tony","Lehigh","Patriot",37,17,11,0,4,1
2019,"Gorla, Joe","Lehigh","Patriot",4,2,2,0,0,1
2019,"Hand, Matt","Lehigh","Patriot",25,24,13,0,4,0
2019,"Kochmansky, Jake","Lehigh","Patriot",12,5,3,0,2,1
2019,"Maguire, Mike","Lehigh","Patriot",21,39,3,0,9,3
2019,"Malloy, Ryan","Lehigh","Patriot",30,16,13,3,2,1
2019,"McKenna, Quinn","Lehigh","Patriot",6,16,4,0,2,0
2019,"Schreiner, Tyler","Lehigh","Patriot",21,14,0,3,3,1
2019,"Shanfeldt, Jeff","Lehigh","Patriot",25,34,8,0,2,0
2019,"Sweeney, Gerard","Lehigh","Patriot",38,29,4,0,4,1
2013,"Aanderud, Bryan","Liberty","Big South",74,24,9,1,4,0
2013,"Britt, Dalton","Liberty","Big South",37,20,4,2,4,2
2013,"Close, Alex","Liberty","Big South",35,27,1,1,1,0
2013,"Cordell, Ryan","Liberty","Big South",48,19,1,0,28,4
2013,"Kimble, Jake","Liberty","Big South",15,6,5,0,3,0
2013,"Lacik, Nick","Liberty","Big South",25,17,2,0,8,5
2013,"Paxton, Nick","Liberty","Big South",31,13,19,0,20,6
2013,"Perritt, Ashton","Liberty","Big South",44,9,4,0,18,3
2013,"Sizemore, Justin","Liberty","Big South",22,11,2,0,1,0
2013,"Sype, Dalton","Liberty","Big South",16,6,3,0,0,1
2013,"Wimmer, Trey","Liberty","Big South",47,21,5,0,2,1
2014,"Allen, Dylan","Liberty","Big South",24,25,3,0,1,3
2014,"Britt, Dalton","Liberty","Big South",57,16,3,3,6,3
2014,"Close, Alex","Liberty","Big South",47,17,3,0,3,0
2014,"Keranen, Clay","Liberty","Big South",12,3,0,0,0,1
2014,"Lacik, Nick","Liberty","Big South",35,29,6,0,5,1
2014,"Perritt, Ashton","Liberty","Big South",40,16,13,0,18,7
2014,"Roberts, Tray","Liberty","Big South",1,2,0,0,1,1
2014,"Seiz, Ryan","Liberty","Big South",51,28,6,5,0,1
2014,"Shepherd, Will","Liberty","Big South",44,15,3,0,5,2
2014,"Yacyk, Andrew","Liberty","Big South",17,2,2,0,0,1
2015,"Barrick, Josh","Liberty","Big South",0,3,0,0,0,1
2015,"Britt, Dalton","Liberty","Big South",46,21,2,0,10,1
2015,"Close, Alex","Liberty","Big South",53,28,3,1,1,3
2015,"Close, Josh","Liberty","Big South",8,3,3,0,2,1
2015,"Keranen, Clay","Liberty","Big South",16,10,1,0,2,1
2015,"Kimble, Jake","Liberty","Big South",3,4,1,0,1,1
2015,"Paxton, Nick","Liberty","Big South",17,13,11,0,10,2
2015,"Perritt, Ashton","Liberty","Big South",32,17,7,0,8,7
2015,"Roberts, Tray","Liberty","Big South",5,3,2,0,6,4
2015,"Salisbury, Nick","Liberty","Big South",24,18,2,1,2,0
2015,"Sankey, Becker","Liberty","Big South",28,29,7,0,1,2
2015,"Shepherd, Will","Liberty","Big South",25,16,5,0,16,3
2015,"Stroosma, Aaron","Liberty","Big South",14,13,5,0,10,1
2015,"Walker, Nick","Liberty","Big South",3,7,0,0,1,0
2015,"Yacyk, Andrew","Liberty","Big South",43,15,8,0,2,2
2016,"Artis, D.J.","Liberty","Big South",68,52,10,2,23,6
2016,"Barbee, Jake","Liberty","Big South",2,1,0,0,0,1
2016,"Barrick, Josh","Liberty","Big South",6,5,5,0,2,1
2016,"Britt, Dalton","Liberty","Big South",45,23,3,0,5,7
2016,"Close, Josh","Liberty","Big South",3,2,1,0,2,0
2016,"Grabowski, Eric","Liberty","Big South",26,16,2,0,1,0
2016,"Kowalo, Andrew","Liberty","Big South",30,24,9,0,3,0
2016,"Latta, Josh","Liberty","Big South",19,5,7,0,1,0
2016,"Morris, Jack","Liberty","Big South",19,10,4,0,2,1
2016,"Roberts, Tray","Liberty","Big South",1,1,0,0,3,2
2016,"Scarbrough, Payton","Liberty","Big South",29,7,4,0,1,0
2016,"Shepherd, Will","Liberty","Big South",52,25,3,0,11,6
2016,"Stroosma, Aaron","Liberty","Big South",1,0,0,0,3,1
2016,"Yacyk, Andrew","Liberty","Big South",44,19,11,1,0,1
2017,"Artis, D.J.","Liberty","Big South",44,62,7,2,23,3
2017,"Barbee, Jake","Liberty","Big South",41,38,7,0,3,2
2017,"Embry, Jonathan","Liberty","Big South",2,11,3,0,1,1
2017,"Grabowski, Eric","Liberty","Big South",31,28,5,0,2,0
2017,"Kowalo, Andrew","Liberty","Big South",36,35,8,0,1,1
2017,"Locklear, Cam","Liberty","Big South",27,20,7,0,8,0
2017,"McDyre, Trey","Liberty","Big South",42,29,1,0,1,1
2017,"Morris, Jack","Liberty","Big South",7,15,1,0,2,0
2017,"Shepherd, Will","Liberty","Big South",31,11,6,0,6,0
2017,"Taormina, Sammy","Liberty","Big South",41,39,1,4,1,1
2018,"Allen, Dylan","Liberty","Big South",33,47,12,0,1,2
2018,"Artis, D.J.","Liberty","Big South",40,52,16,1,26,4
2018,"Embry, Jonathan","Liberty","Big South",23,44,9,1,9,2
2018,"Galazin, Tyler","Liberty","Big South",46,30,8,1,2,2
2018,"Heid, Brady","Liberty","Big South",1,1,1,0,2,0
2018,"Karraker, Ayden","Liberty","Big South",7,7,2,0,1,0
2018,"Locklear, Cam","Liberty","Big South",41,27,3,0,5,1
2018,"Mathieu, Logan","Liberty","Big South",23,16,5,0,0,1
2018,"McDyre, Trey","Liberty","Big South",23,26,1,0,5,0
2018,"O'Connor, John","Liberty","Big South",0,3,0,0,1,0
2018,"Reese, E.P.","Liberty","Big South",1,1,0,0,1,0
2018,"Rohrer, Brandon","Liberty","Big South",33,19,4,0,0,1
2018,"Todd, Tre","Liberty","Big South",38,60,6,3,4,3
2018,"Wagner, Will","Liberty","Big South",4,2,0,0,1,0
2019,"Betts, Gray","Liberty","ASUN",48,38,9,0,2,4
2019,"Embry, Jonathan","Liberty","ASUN",44,59,5,2,8,2
2019,"Galazin, Tyler","Liberty","ASUN",58,35,5,4,11,1
2019,"Guy, Jaylen","Liberty","ASUN",43,13,18,0,11,2
2019,"Heid, Brady","Liberty","ASUN",4,5,0,0,0,1
2019,"Karraker, Ayden","Liberty","ASUN",5,8,3,0,3,0
2019,"Locklear, Cam","Liberty","ASUN",45,38,7,0,9,2
2019,"Mathieu, Logan","Liberty","ASUN",42,36,10,2,1,0
2019,"Rohrer, Brandon","Liberty","ASUN",60,39,6,1,3,1
2019,"Wagner, Will","Liberty","ASUN",53,30,4,0,9,1
2013,"Adams, Drew","Lipscomb","ASUN",37,33,12,0,10,5
2013,"Ashcraft, Tyson","Lipscomb","ASUN",40,14,5,0,3,1
2013,"Chandler, Noah","Lipscomb","ASUN",28,9,2,0,2,1
2013,"Hutchinson, Gray","Lipscomb","ASUN",27,20,2,0,0,1
2013,"Lowery, Zach","Lipscomb","ASUN",33,26,6,1,11,1
2013,"Moore, Griffin","Lipscomb","ASUN",17,29,2,0,1,0
2013,"Sandoval, Aaron","Lipscomb","ASUN",46,14,9,0,0,1
2013,"Shannon, Chad","Lipscomb","ASUN",41,23,3,0,5,3
2013,"Stewart, Taylor","Lipscomb","ASUN",36,9,5,0,1,1
2013,"Wilson, Lee","Lipscomb","ASUN",44,15,11,0,5,1
2014,"Adams, Drew","Lipscomb","ASUN",49,39,5,3,8,10
2014,"Allison, Jonathan","Lipscomb","ASUN",42,33,4,1,3,5
2014,"Ashcraft, Tyson","Lipscomb","ASUN",28,19,11,0,3,1
2014,"Bethune, Tyler","Lipscomb","ASUN",18,8,4,0,1,2
2014,"Carlson, Geordie","Lipscomb","ASUN",1,0,0,0,1,1
2014,"Hanks, Hunter","Lipscomb","ASUN",20,6,0,1,1,0
2014,"Korte, Mike","Lipscomb","ASUN",43,37,5,0,3,0
2014,"Lee, Adam","Lipscomb","ASUN",30,21,4,0,9,5
2014,"Lee, Josh","Lipscomb","ASUN",37,20,7,1,5,1
2014,"Massey, Grant","Lipscomb","ASUN",53,40,4,0,14,4
2014,"Moore, Griffin","Lipscomb","ASUN",21,17,1,0,4,2
2014,"Rome, Nick","Lipscomb","ASUN",25,7,2,0,2,2
2014,"Sistrunk, Austin","Lipscomb","ASUN",29,22,1,1,8,1
2015,"Allison, Jonathan","Lipscomb","ASUN",43,36,2,4,14,4
2015,"Ashcraft, Tyson","Lipscomb","ASUN",24,14,6,0,3,2
2015,"Bethune, Tyler","Lipscomb","ASUN",2,0,0,0,1,0
2015,"Brown, Tyler","Lipscomb","ASUN",6,3,2,0,2,0
2015,"Gigliotti, Michael","Lipscomb","ASUN",65,25,5,1,17,7
2015,"Hanks, Hunter","Lipscomb","ASUN",36,16,2,0,7,4
2015,"Hooker, Allan","Lipscomb","ASUN",23,19,1,1,3,6
2015,"Korte, Mike","Lipscomb","ASUN",20,22,4,0,5,1
2015,"Lee, Adam","Lipscomb","ASUN",39,26,8,0,10,1
2015,"Lee, Josh","Lipscomb","ASUN",17,19,7,0,3,3
2015,"Massey, Grant","Lipscomb","ASUN",63,18,6,0,18,3
2015,"Solomon, Lee","Lipscomb","ASUN",0,0,0,0,1,0
2015,"Vazquez, Chucky","Lipscomb","ASUN",22,11,4,0,7,2
2016,"Bethune, Tyler","Lipscomb","ASUN",10,3,0,0,0,1
2016,"Crisan, Jeffrey","Lipscomb","ASUN",15,4,1,0,0,1
2016,"Dodson, Zeke","Lipscomb","ASUN",50,33,4,0,5,5
2016,"Furstace, Jackson","Lipscomb","ASUN",7,0,0,0,0,1
2016,"Gigliotti, Michael","Lipscomb","ASUN",38,31,5,2,15,4
2016,"Hanks, Hunter","Lipscomb","ASUN",26,17,2,1,1,3
2016,"Hooker, Allan","Lipscomb","ASUN",38,27,1,1,13,4
2016,"Knell, Andrew","Lipscomb","ASUN",0,3,0,0,1,0
2016,"Lee, Adam","Lipscomb","ASUN",46,41,9,1,22,5
2016,"Moynihan, Quinn","Lipscomb","ASUN",0,1,0,0,0,1
2016,"Solomon, Lee","Lipscomb","ASUN",66,36,8,0,25,8
2016,"Sorrells, Cade","Lipscomb","ASUN",17,6,4,0,1,2
2016,"Symonette, Tevin","Lipscomb","ASUN",38,23,5,2,4,3
2016,"Vazquez, Chucky","Lipscomb","ASUN",18,23,0,0,5,0
2016,"Watson, Von","Lipscomb","ASUN",32,22,6,0,6,2
2017,"Crisan, Jeffrey","Lipscomb","ASUN",22,16,1,0,2,1
2017,"Dodson, Zeke","Lipscomb","ASUN",45,35,2,0,4,6
2017,"Gigliotti, Michael","Lipscomb","ASUN",40,51,10,0,31,5
2017,"Hanks, Hunter","Lipscomb","ASUN",23,17,3,1,10,1
2017,"Hooker, Allan","Lipscomb","ASUN",13,9,2,0,4,1
2017,"Martinez, Josh","Lipscomb","ASUN",8,5,0,0,1,2
2017,"Perry, Jake","Lipscomb","ASUN",32,21,1,0,0,1
2017,"Solomon, Lee","Lipscomb","ASUN",32,31,9,2,23,6
2017,"Sorrells, Cade","Lipscomb","ASUN",51,40,5,1,12,0
2017,"Symonette, Tevin","Lipscomb","ASUN",11,15,1,0,3,0
2017,"Thomas, Blake","Lipscomb","ASUN",36,22,3,0,16,1
2017,"Watson, Von","Lipscomb","ASUN",19,8,2,0,5,0
2018,"Bashlor, Chris","Lipscomb","ASUN",17,4,7,0,0,1
2018,"Dodson, Zeke","Lipscomb","ASUN",39,31,2,0,5,1
2018,"Houghton, Maddux","Lipscomb","ASUN",31,18,7,0,10,2
2018,"Martinez, Josh","Lipscomb","ASUN",26,14,1,2,4,1
2018,"Perry, Jake","Lipscomb","ASUN",23,16,3,1,2,1
2018,"Solomon, Lee","Lipscomb","ASUN",20,21,8,0,15,3
2018,"Sorrells, Cade","Lipscomb","ASUN",32,40,2,0,5,1
2018,"Symonette, Tevin","Lipscomb","ASUN",24,14,1,1,11,0
2018,"Thomas, Blake","Lipscomb","ASUN",35,21,4,0,17,0
2018,"Wright, Carson","Lipscomb","ASUN",5,7,2,0,3,1
2019,"Adams, Haddon","Lipscomb","ASUN",42,26,3,0,13,1
2019,"Bashlor, Chris","Lipscomb","ASUN",37,31,5,0,1,0
2019,"Bertolani, Chaz","Lipscomb","ASUN",22,9,1,0,1,0
2019,"Dodson, Zeke","Lipscomb","ASUN",36,22,2,1,5,2
2019,"Furstace, Jackson","Lipscomb","ASUN",8,8,0,0,0,1
2019,"Graves, David","Lipscomb","ASUN",19,13,1,0,4,0
2019,"Houghton, Maddux","Lipscomb","ASUN",51,15,7,0,20,5
2019,"Jones, Ty","Lipscomb","ASUN",13,15,2,0,4,2
2019,"Martinez, Josh","Lipscomb","ASUN",26,6,0,0,3,3
2019,"Moore, Brian","Lipscomb","ASUN",21,19,3,0,6,3
2019,"Sorrells, Cade","Lipscomb","ASUN",43,37,3,1,7,1
2019,"Symonette, Tevin","Lipscomb","ASUN",23,26,1,2,13,5
2019,"Watson, Von","Lipscomb","ASUN",7,6,4,0,1,0
2019,"Wright, Carson","Lipscomb","ASUN",4,3,0,0,2,1
2013,"Burk, Chris","Little Rock","Sun Belt",46,24,15,0,6,5
2013,"Clark, John","Little Rock","Sun Belt",43,16,5,1,4,3
2013,"Crumpton, Ben","Little Rock","Sun Belt",38,27,6,0,23,3
2013,"Gasaway, Sage","Little Rock","Sun Belt",7,8,2,0,3,1
2013,"Guarno, David","Little Rock","Sun Belt",18,7,2,1,2,1
2013,"Jobe, Kaleb","Little Rock","Sun Belt",15,23,3,0,2,0
2013,"Johnson, Blake","Little Rock","Sun Belt",38,29,4,1,8,4
2013,"Parma, Myles","Little Rock","Sun Belt",36,31,5,0,6,0
2013,"Pfeiffer, Austin","Little Rock","Sun Belt",45,18,8,0,19,4
2013,"Scott, Ryan","Little Rock","Sun Belt",3,4,2,0,1,0
2013,"Thionnet, Bryson","Little Rock","Sun Belt",22,31,4,0,10,4
2013,"Vogel, Sam","Little Rock","Sun Belt",12,14,3,0,1,1
2014,"Crumpton, Ben","Little Rock","Sun Belt",55,19,6,1,33,3
2014,"Martin, Hayden","Little Rock","Sun Belt",17,15,1,0,6,3
2014,"McCurry, Drew","Little Rock","Sun Belt",5,1,0,0,1,1
2014,"Merten, Drew","Little Rock","Sun Belt",33,12,3,0,0,1
2014,"Pfeiffer, Austin","Little Rock","Sun Belt",43,18,3,1,16,2
2014,"Prevatt, Jason","Little Rock","Sun Belt",5,6,2,0,1,0
2014,"Rockwell, Tanner","Little Rock","Sun Belt",41,26,5,1,4,0
2014,"Scheuler, Mitchell","Little Rock","Sun Belt",6,6,2,0,2,0
2014,"Sila, Petr","Little Rock","Sun Belt",20,15,5,0,9,3
2014,"Steelmon, Justin","Little Rock","Sun Belt",40,37,2,0,1,3
2014,"Thionnet, Bryson","Little Rock","Sun Belt",27,20,10,0,9,6
2014,"Vogel, Sam","Little Rock","Sun Belt",18,10,8,0,5,1
2015,"Barrett, Kyle","Little Rock","Sun Belt",18,7,1,0,1,1
2015,"Gillean, James","Little Rock","Sun Belt",18,13,1,0,8,1
2015,"Kirk, Kyle","Little Rock","Sun Belt",47,12,0,0,0,1
2015,"Martin, Hayden","Little Rock","Sun Belt",14,10,3,0,2,0
2015,"McSwain, Ryan","Little Rock","Sun Belt",9,5,1,0,3,0
2015,"Merten, Drew","Little Rock","Sun Belt",27,10,8,0,3,1
2015,"Prevatt, Jason","Little Rock","Sun Belt",20,8,10,0,1,1
2015,"Rockwell, Tanner","Little Rock","Sun Belt",41,20,5,3,3,2
2015,"Scheuler, Mitchell","Little Rock","Sun Belt",11,10,4,0,5,0
2015,"Scott, Ryan","Little Rock","Sun Belt",40,17,6,2,3,0
2015,"Sila, Petr","Little Rock","Sun Belt",41,14,5,1,4,4
2015,"Steelmon, Justin","Little Rock","Sun Belt",21,10,0,0,2,2
2015,"Vogel, Sam","Little Rock","Sun Belt",15,13,4,0,3,0
2016,"Baker, Zach","Little Rock","Sun Belt",32,26,5,0,10,3
2016,"Gifford, Nik","Little Rock","Sun Belt",43,27,0,1,7,2
2016,"Gunter, Ty","Little Rock","Sun Belt",29,17,0,0,2,0
2016,"Knight, Cameron","Little Rock","Sun Belt",38,17,5,0,1,0
2016,"Martin, Hayden","Little Rock","Sun Belt",51,21,4,0,8,2
2016,"McDowell, Matt","Little Rock","Sun Belt",10,4,0,0,1,1
2016,"Meyn, Keegan","Little Rock","Sun Belt",5,7,2,0,0,2
2016,"Owens, Hunter","Little Rock","Sun Belt",40,30,5,0,5,1
2016,"Pittman, Riley","Little Rock","Sun Belt",8,2,0,0,0,1
2016,"Scott, Ryan","Little Rock","Sun Belt",60,27,10,5,7,5
2016,"Thomas, Dalton","Little Rock","Sun Belt",58,12,6,1,2,3
2017,"Baker, Zach","Little Rock","Sun Belt",33,17,7,0,8,1
2017,"Dimitroff, Bryce","Little Rock","Sun Belt",20,4,4,0,4,0
2017,"Gifford, Nik","Little Rock","Sun Belt",33,28,4,0,3,0
2017,"Gunter, Ty","Little Rock","Sun Belt",27,9,4,1,0,1
2017,"Knight, Cameron","Little Rock","Sun Belt",38,22,2,3,0,2
2017,"Meyn, Keegan","Little Rock","Sun Belt",2,1,0,0,0,1
2017,"Mitchell Jr., Danny","Little Rock","Sun Belt",16,6,0,0,3,1
2017,"Owens, Hunter","Little Rock","Sun Belt",47,25,3,0,6,1
2017,"Pittman, Riley","Little Rock","Sun Belt",37,9,2,0,0,2
2017,"Reyes, Christian","Little Rock","Sun Belt",29,10,7,0,5,2
2017,"Ridling, Cale","Little Rock","Sun Belt",19,12,0,0,0,1
2017,"Thomas, Dalton","Little Rock","Sun Belt",32,23,8,1,3,1
2018,"Alexander, Troy","Little Rock","Sun Belt",35,13,7,0,7,4
2018,"Benevidez, Ryan","Little Rock","Sun Belt",20,17,8,0,3,3
2018,"Coker, Chase","Little Rock","Sun Belt",36,15,11,0,12,5
2018,"Cooper, Justin","Little Rock","Sun Belt",0,0,0,0,0,1
2018,"Emshoff, Kale","Little Rock","Sun Belt",35,28,6,1,0,1
2018,"Figueroa, Eldrige","Little Rock","Sun Belt",12,3,0,0,0,1
2018,"Gann, James","Little Rock","Sun Belt",24,4,3,0,0,1
2018,"Merino, Matt","Little Rock","Sun Belt",40,5,5,0,7,4
2018,"Mitchell Jr., Danny","Little Rock","Sun Belt",12,5,3,0,6,0
2018,"Perez, Nick","Little Rock","Sun Belt",31,20,3,0,5,2
2018,"Pittman, Riley","Little Rock","Sun Belt",28,22,5,4,0,2
2018,"Ragan, Marcus","Little Rock","Sun Belt",52,16,7,0,24,6
2018,"Reyes, Christian","Little Rock","Sun Belt",12,17,10,0,3,2
2019,"Alexander, Troy","Little Rock","Sun Belt",29,17,11,1,4,4
2019,"Benevidez, Ryan","Little Rock","Sun Belt",54,28,17,3,4,8
2019,"Coker, Chase","Little Rock","Sun Belt",32,17,8,1,14,4
2019,"Figueroa, Eldrige","Little Rock","Sun Belt",40,22,12,0,7,6
2019,"Jordan, Trace","Little Rock","Sun Belt",10,6,3,0,0,1
2019,"Lyons, Nathan","Little Rock","Sun Belt",8,2,3,0,1,1
2019,"Nowak, Josh","Little Rock","Sun Belt",9,7,1,0,0,1
2019,"Pittman, Riley","Little Rock","Sun Belt",39,26,7,2,2,3
2019,"Reyes, Christian","Little Rock","Sun Belt",46,36,10,1,9,8
2019,"Scott, Garrett","Little Rock","Sun Belt",28,28,12,0,5,0
2019,"Soto, Miguel","Little Rock","Sun Belt",6,5,2,0,1,1
2013,"Brown, Jesse","LIU","NEC",22,11,8,0,3,1
2013,"DeMarco, Kyle","LIU","NEC",21,11,5,0,1,2
2013,"Faz, Albert","LIU","NEC",10,2,1,0,1,1
2013,"Garcia, Mike","LIU","NEC",27,11,3,0,2,2
2013,"Jakubowski, Tommy","LIU","NEC",14,13,0,0,6,2
2013,"Leonello, Pete","LIU","NEC",52,28,3,1,10,8
2013,"Untereiner, Chris","LIU","NEC",46,7,3,0,2,3
2013,"Ziznewski, John","LIU","NEC",52,22,2,3,17,1
2014,"Capo, Anthony","LIU","NEC",12,3,0,0,1,0
2014,"DeMarco, Kyle","LIU","NEC",22,14,7,0,3,1
2014,"Hernandez, Mark","LIU","NEC",49,17,4,0,9,0
2014,"Leonello, Pete","LIU","NEC",46,31,4,0,12,6
2014,"McAllister, Jon","LIU","NEC",60,14,5,0,12,4
2014,"Misiano, Charles","LIU","NEC",24,11,7,0,10,1
2014,"Needham, Kevin","LIU","NEC",35,15,13,1,1,0
2014,"Perez, Diego","LIU","NEC",2,5,0,0,0,1
2014,"Preschel, Harrison","LIU","NEC",25,20,5,0,0,1
2014,"Rios, Melvin","LIU","NEC",10,9,1,0,1,0
2014,"Webb, Bobby","LIU","NEC",51,8,6,0,1,1
2014,"Ziznewski, John","LIU","NEC",48,22,3,0,17,3
2015,"Capo, Anthony","LIU","NEC",34,7,2,0,4,5
2015,"Hernandez, Mark","LIU","NEC",26,16,1,4,5,2
2015,"Jakubowski, Tommy","LIU","NEC",38,14,4,2,18,3
2015,"Knauth, John","LIU","NEC",4,4,0,0,0,1
2015,"Lamboy, Brian","LIU","NEC",27,24,7,0,14,1
2015,"McAllister, Jon","LIU","NEC",28,3,1,0,8,3
2015,"Misiano, Charles","LIU","NEC",36,11,12,0,14,6
2015,"Paiotti, Dom","LIU","NEC",24,14,3,0,5,4
2015,"Preschel, Harrison","LIU","NEC",9,3,3,0,2,0
2015,"Rios, Luis","LIU","NEC",10,5,0,0,1,1
2015,"Rios, Melvin","LIU","NEC",20,8,0,0,2,2
2015,"Serrano, John","LIU","NEC",4,2,0,0,1,0
2015,"Struss, Nate","LIU","NEC",1,4,0,0,0,1
2015,"Tranchina, Vincent","LIU","NEC",15,10,1,0,0,2
2015,"Turner, Andrew","LIU","NEC",17,7,2,0,2,0
2015,"Webb, Bobby","LIU","NEC",31,12,5,0,3,1
2016,"Arias de los Santos, Luis","LIU","NEC",26,19,3,0,3,5
2016,"Camilo, Andy","LIU","NEC",24,12,2,0,0,1
2016,"Capo, Anthony","LIU","NEC",5,5,0,0,1,0
2016,"Hernandez, Mark","LIU","NEC",7,18,0,0,1,1
2016,"Jackson, William","LIU","NEC",7,8,0,0,1,1
