year,division,Player,Jersey,school,conference,Yr,Pos,GP,App,GS,ERA,IP,H.A,R.A,ER,BB.A,SO,SHO,BF,P.OAB,2B.A,3B.A,Bk,HR.A,WP,HB,IBB.A,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,teamid,player_id,player_url,SO_PCT,BB_PCT,SO_BB_Ratio,BAA,OBPA,SLGA,OPSA,conference_id
2015,1,"Schmardel, Max",25,Wagner,NEC,Sr,P,14,14,6,4.33,43.2,49,23,21,10,29,0,190,169,9,0,1,3,0,7,1,6,3,4,0,44,50,2,1,0,13,748,1306609,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1306609,0.153,0.053,2.9,0.29,0.355,0.396,0.751,846
2018,1,"Ayala, A.G.",39,A&M-Corpus Christi,Southland,Fr,P,23,23,2,2.86,44,28,17,14,18,43,0,181,153,4,0,3,4,2,5,0,11,4,3,2,45,41,5,1,0,12,26172,1998346,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1998346,0.238,0.099,2.389,0.183,0.287,0.288,0.575,914
2017,1,"Sunitsch, Scott",23,Washington St.,Pac-12,Jr,P,28,28,0,4.17,41,35,19,19,21,35,0,184,145,5,0,1,4,4,10,1,22,8,6,2,39,41,2,4,8,13,754,1644320,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1644320,0.19,0.114,1.667,0.241,0.371,0.359,0.73,905
2018,1,"Farraye, Jeremy",17,Pepperdine,WCC,Fr,P,20,20,0,6.82,34.1,36,27,26,15,16,0,160,133,11,1,0,5,3,9,0,9,6,3,0,33,48,3,3,0,3,541,1977598,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1977598,0.1,0.094,1.067,0.271,0.382,0.481,0.863,922
2014,1,"Rodriguez, Brady",28,Abilene Christian,Southland,Sr,P,24,24,8,5.83,71,94,55,46,22,43,1,328,294,17,5,0,2,7,4,1,16,7,7,1,91,71,2,6,1,12,2,1215886,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1215886,0.131,0.067,1.955,0.32,0.374,0.432,0.806,914
2017,1,"Walters, Jake",16,Alabama,SEC,Jr,P,14,14,13,3.98,72.1,74,45,32,36,64,0,329,278,10,3,0,4,15,7,0,0,0,5,1,71,67,5,5,0,15,8,1655483,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1655483,0.195,0.109,1.778,0.266,0.363,0.367,0.73,911
2015,1,"Hansen, Alec",35,Oklahoma,Big 12,So,P,16,15,15,3.95,82,75,44,36,44,94,0,365,307,17,2,1,0,14,8,0,0,0,5,1,78,60,5,6,0,23,522,1531759,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1531759,0.258,0.121,2.136,0.244,0.353,0.313,0.666,25354
2018,1,"Meyer, Matt",34,Jacksonville,ASUN,Sr,P,25,25,1,6.07,29.2,30,24,20,25,34,0,147,113,5,0,1,2,4,4,0,14,5,4,1,29,22,1,2,1,16,316,1872105,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1872105,0.231,0.17,1.36,0.265,0.413,0.363,0.776,920
2017,1,"McReaken, Mason",47,SIUE,OVC,Jr,P,24,24,0,3.88,46.1,42,27,20,33,47,0,223,175,7,0,5,7,6,12,1,10,7,2,1,34,51,2,4,6,8,660,1866335,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1866335,0.211,0.148,1.424,0.24,0.394,0.4,0.794,902
2015,1,"Leitao, Brennan",21,Sacramento St.,WAC,Sr,P,16,15,15,2.2,94,76,29,23,13,55,0,362,335,9,0,3,1,6,7,0,0,0,4,3,110,94,7,4,0,21,102,1315636,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1315636,0.152,0.036,4.231,0.227,0.268,0.263,0.531,923
2014,1,"Robinette, Mark",13,Oklahoma St.,Big 12,Sr,P,12,12,6,3.58,27.2,32,22,11,13,25,0,138,118,3,0,0,3,3,4,0,5,1,1,2,21,38,3,2,0,6,521,1322647,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1322647,0.181,0.094,1.923,0.271,0.358,0.373,0.731,25354
2017,1,"Eubanks, Alex",16,Clemson,ACC,So,P,18,18,16,4.09,105.2,104,50,48,15,104,2,438,411,25,1,1,16,11,5,0,0,0,6,1,107,99,7,6,0,35,147,1770734,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770734,0.237,0.034,6.933,0.253,0.287,0.436,0.723,821
2015,1,"Fain, Michael",33,Nevada,Mountain West,Jr,P,15,13,7,7.74,43,65,43,37,25,29,0,215,182,12,1,0,8,5,2,2,8,6,3,3,55,34,3,2,0,5,466,1441009,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1441009,0.135,0.116,1.16,0.357,0.434,0.566,1,5486
2016,1,"Pobereyko, Danny",43,Butler,Big East,Jr,P,18,18,4,5.04,64.1,68,44,36,24,59,0,297,256,7,2,0,5,8,9,1,9,2,6,2,67,61,3,3,0,14,87,1542003,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1542003,0.199,0.081,2.458,0.266,0.347,0.367,0.714,30184
2019,1,"Dvorak, Liam",25,Holy Cross,Patriot,So,P,14,14,13,3.58,75.1,68,40,30,34,83,0,334,286,16,0,0,7,4,6,4,2,0,6,2,76,57,6,5,1,23,285,1997138,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997138,0.249,0.102,2.441,0.238,0.329,0.367,0.696,838
2015,1,"Baird, Michael",31,Southern Ill.,MVC,Fr,P,18,18,2,7.63,46,67,44,39,16,44,0,218,189,16,2,0,4,3,6,0,11,7,4,3,37,46,0,4,0,9,659,1659885,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1659885,0.202,0.073,2.75,0.354,0.416,0.524,0.94,884
2017,1,"Campbell, Jace",41,Lamar University,Southland,Jr,P,15,15,12,4.13,61,60,31,28,26,50,0,267,231,12,1,0,4,6,6,0,3,0,3,1,52,70,4,4,0,14,346,1877983,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1877983,0.187,0.097,1.923,0.26,0.348,0.372,0.72,914
