year,division,Player,Jersey,school,conference,Yr,Pos,GP,App,GS,ERA,IP,H.A,R.A,ER,BB.A,SO,SHO,BF,P.OAB,2B.A,3B.A,Bk,HR.A,WP,HB,IBB.A,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,teamid,player_id,player_url,SO_PCT,BB_PCT,SO_BB_Ratio,BAA,OBPA,SLGA,OPSA,conference_id
2014,1,"Acker, Chris",20,Towson,CAA,Jr,P,10,10,9,3.86,42,42,26,18,31,22,0,199,162,7,2,0,1,7,2,2,0,0,4,0,56,40,2,3,0,4,711,1213104,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1213104,0.111,0.156,0.71,0.259,0.385,0.346,0.731,837
2017,1,"Mortenson, Tyler",40,Air Force,Mountain West,So,P,16,1,1,5.04,30.1,29,18,17,20,35,0,140,113,8,3,1,4,6,2,2,18,6,3,2,24,29,2,3,2,10,721,1769415,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1769415,0.25,0.143,1.75,0.257,0.372,0.487,0.859,5486
2019,1,"Cofer, Jackson",49,UNLV,Mountain West,Sr,P,24,24,0,2.93,30.2,32,15,10,7,28,0,131,123,6,0,1,1,1,0,2,23,10,1,0,37,23,3,2,10,12,465,2122950,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2122950,0.214,0.053,4,0.26,0.3,0.333,0.633,5486
2017,1,"Darrell-Hicks, Michael",44,Western Ky.,C-USA,Fr,P,20,20,3,7.02,33.1,50,31,26,22,17,0,167,140,15,0,1,2,6,1,0,16,11,3,1,37,38,0,2,0,6,772,1866178,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1866178,0.102,0.132,0.773,0.357,0.445,0.507,0.952,24312
2017,1,"Wilson, Josh",32,Florida A&M,MEAC,Fr,P,12,12,5,6.75,25.1,24,26,19,20,23,0,123,96,7,0,0,5,3,5,0,7,0,2,0,16,33,0,4,0,9,228,1871303,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1871303,0.187,0.163,1.15,0.25,0.405,0.479,0.884,876
2014,1,"Bristo, Braden",5,Louisiana Tech,C-USA,Fr,P,19,19,5,3,36,30,15,12,24,18,0,162,126,4,0,2,1,6,3,1,15,6,7,2,38,46,1,2,0,10,366,1527597,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1527597,0.111,0.148,0.75,0.238,0.368,0.294,0.662,24312
2015,1,"Thomas, Eric",44,Rider,MAAC,Sr,P,28,28,0,1.33,27,19,5,4,17,36,0,114,94,2,0,1,1,5,2,0,12,7,0,1,20,19,1,0,10,11,576,1315485,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1315485,0.316,0.149,2.118,0.202,0.333,0.255,0.588,871
2017,1,"Scott, Derek",7,Abilene Christian,Southland,So,OF,55,8,6,3.96,36.1,40,19,16,10,34,0,156,142,10,1,1,3,1,0,0,5,3,4,0,34,35,2,3,0,8,2,1767864,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767864,0.218,0.064,3.4,0.282,0.329,0.43,0.759,914
2017,1,"Wagner, R.J.",32,Dayton,Atlantic 10,Fr,P,18,18,8,6.79,53,70,43,40,19,30,0,253,216,13,0,1,8,6,11,0,6,2,5,2,76,38,3,5,0,8,175,1869032,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1869032,0.119,0.075,1.579,0.324,0.403,0.495,0.898,820
2013,1,"RoBards, Mike",2,San Diego St.,Mountain West,So,P,19,19,7,3.58,55.1,56,24,22,22,37,0,240,199,14,5,0,1,1,6,1,11,2,12,1,59,56,4,1,0,16,626,1309965,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1309965,0.154,0.092,1.682,0.281,0.368,0.417,0.785,5486
2016,1,"Moore, Peter",18,Lehigh,Patriot,So,P,14,14,6,4.3,58.2,41,30,28,29,46,0,247,212,8,1,1,8,2,5,0,4,0,1,0,74,47,6,3,0,8,352,1655363,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1655363,0.186,0.117,1.586,0.193,0.305,0.354,0.659,838
2016,1,"Warzek, Bryan",13,New Orleans,Southland,Fr,P,15,15,14,5.73,48.2,48,38,31,47,39,0,240,179,11,0,3,8,6,6,0,0,0,6,2,45,51,2,3,0,14,474,1759031,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1759031,0.162,0.196,0.83,0.268,0.432,0.464,0.896,914
2018,1,"Seminaris, Adam",16,Long Beach St.,Big West,Fr,P,21,21,10,4.84,57.2,63,36,31,16,44,0,252,228,10,0,0,3,3,5,0,12,1,3,0,69,50,1,7,0,9,99,1979671,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1979671,0.175,0.063,2.75,0.276,0.337,0.36,0.697,904
2015,1,"Erives, Eder",7,Arizona St.,Pac-12,So,P,19,18,0,3.56,30.1,26,14,12,15,28,0,136,110,5,0,0,1,1,5,1,18,5,4,2,23,37,1,1,0,9,28,1529052,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1529052,0.206,0.11,1.867,0.236,0.348,0.309,0.657,905
2014,1,"Gantz, Cory",39,UNCW,CAA,Fr,P,13,13,2,3.42,26.1,27,12,10,9,11,0,113,99,3,0,1,4,0,2,0,9,2,3,0,25,39,3,1,0,5,460,1533232,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1533232,0.097,0.08,1.222,0.273,0.345,0.424,0.769,837
2017,1,"Lamar, Adam",31,UAB,C-USA,Sr,P,16,16,5,6.95,45.1,61,39,35,19,29,0,211,185,11,0,0,6,4,2,2,9,4,5,0,41,57,2,2,0,12,9,1428415,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1428415,0.137,0.09,1.526,0.33,0.398,0.486,0.884,24312
2015,1,"Schwartz, Toby",40,Lafayette,Patriot,Sr,P,40,10,10,4.17,58.1,57,31,27,18,47,1,257,228,10,2,2,3,1,5,0,0,0,3,3,77,48,3,4,0,7,342,1315459,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1315459,0.183,0.07,2.611,0.25,0.315,0.351,0.666,838
2018,1,"Valentine, Trent",42,Fairleigh Dickinson,NEC,Fr,P,12,12,9,8.78,40,63,48,39,21,40,0,205,175,9,4,2,5,6,6,0,4,2,2,1,39,32,1,4,0,11,222,1991057,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1991057,0.195,0.102,1.905,0.36,0.443,0.543,0.986,846
2017,1,"Trabanino, Nolan",20,UTSA,C-USA,Sr,P,17,15,15,5.08,83.1,102,54,47,37,42,1,379,326,15,1,1,11,7,5,0,0,0,9,2,95,93,6,7,0,11,706,1438770,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1438770,0.111,0.098,1.135,0.313,0.389,0.466,0.855,24312
2013,1,"Null, Jeremy",46,Western Caro.,SoCon,So,P,14,14,14,3.46,91,82,41,35,27,109,0,386,341,18,2,0,6,7,9,0,0,0,6,3,71,78,9,2,0,27,769,1304545,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1304545,0.282,0.07,4.037,0.24,0.311,0.358,0.669,912
2014,1,"Carroll, Dalton",24,Utah,Pac-12,So,P,16,15,11,5.31,59.1,71,41,35,11,38,0,260,238,12,1,0,4,3,5,0,3,1,5,1,85,43,1,5,0,11,732,1418634,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1418634,0.146,0.042,3.455,0.298,0.341,0.408,0.749,905
2016,1,"Atkins, Adam",33,Louisiana Tech,C-USA,Sr,P,24,24,0,1.2,45,28,7,6,12,56,0,181,162,4,1,0,2,3,5,4,24,12,2,0,47,30,6,1,9,13,366,1650369,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1650369,0.309,0.066,4.667,0.173,0.251,0.247,0.498,24312
2018,1,"Camarda, Brad",15,Hofstra,CAA,Fr,P,14,14,5,4.3,29.1,30,19,14,19,28,0,140,115,5,0,0,3,6,2,0,4,3,3,1,23,34,2,2,0,14,283,1981067,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1981067,0.2,0.136,1.474,0.261,0.372,0.383,0.755,837
2016,1,"Sundahl, Baylor",17,Sacred Heart,NEC,Fr,P,24,24,0,4.81,43,50,26,23,24,30,0,208,169,5,0,0,2,6,10,3,15,6,4,1,55,35,3,3,2,12,590,1775518,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1775518,0.144,0.115,1.25,0.296,0.412,0.361,0.773,846
2016,1,"Moore, Dylan",40,Louisiana,Sun Belt,So,P,26,26,0,0.91,49.2,24,7,5,15,59,0,181,163,3,2,0,2,3,0,1,18,5,2,1,40,41,6,1,14,24,671,1644741,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1644741,0.326,0.083,3.933,0.147,0.218,0.227,0.445,818
2019,1,"Ponce, Dalton",18,Saint Mary's (CA),WCC,Fr,P,15,15,0,3.16,31.1,34,14,11,13,27,0,143,122,5,1,0,1,5,2,4,9,5,3,3,22,44,2,4,1,9,610,2127948,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2127948,0.189,0.091,2.077,0.279,0.35,0.361,0.711,922
2017,1,"Chandler, Grant",15,Jacksonville St.,OVC,Jr,P,26,26,1,4.11,46,45,22,21,11,41,0,192,177,7,2,0,8,4,1,0,11,4,3,0,37,54,0,2,1,19,315,1656876,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1656876,0.214,0.057,3.727,0.254,0.302,0.452,0.754,902
2013,1,"Aikenhead, Taylor",7,CSU Bakersfield,WAC,Jr,P,26,26,6,3.24,66.2,57,29,24,30,36,0,284,240,7,2,0,3,8,4,1,20,11,7,3,80,74,5,2,5,12,94,1300395,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1300395,0.127,0.106,1.2,0.238,0.329,0.321,0.65,923
2013,1,"Pittman, Morgan",32,Mercer,ASUN,So,P,31,31,0,3.99,29.1,44,13,13,11,32,0,139,124,8,1,0,1,2,1,2,19,8,2,1,26,25,1,0,0,12,406,1315202,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1315202,0.23,0.079,2.909,0.355,0.409,0.46,0.869,920
2017,1,"Hankins, Tyler",35,Central Mich.,MAC,Fr,P,15,15,14,3.93,91.2,100,44,40,28,51,0,393,355,21,5,0,5,1,4,1,1,0,4,2,101,101,6,1,0,14,129,1866828,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1866828,0.13,0.071,1.821,0.282,0.339,0.411,0.75,875
2019,1,"Abrams, Ethan",44,Columbia,Ivy League,Sr,P,13,13,7,6.59,42.1,54,32,31,12,21,0,188,171,12,1,0,1,1,2,0,3,2,0,3,40,58,3,2,1,4,158,1755318,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1755318,0.112,0.064,1.75,0.316,0.362,0.415,0.777,865
2017,1,"Stroh, Gareth",32,Purdue,Big Ten,So,P,16,16,15,3.89,90.1,87,45,39,30,53,0,387,341,17,2,0,7,5,4,0,0,0,6,5,88,115,5,4,1,14,559,1873618,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1873618,0.137,0.078,1.767,0.255,0.318,0.378,0.696,827
2015,1,"O'Bear, Issac",11,Grambling,SWAC,Jr,P,17,17,13,7.73,82.2,123,76,71,25,37,0,403,344,16,5,2,11,1,17,0,5,4,12,5,87,102,3,6,0,11,261,1429317,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1429317,0.092,0.062,1.48,0.358,0.422,0.529,0.951,916
2013,1,"Molesky, Vincent",32,Mount St. Mary's,NEC,Sr,P,13,13,5,4.94,31,48,23,17,15,23,0,155,135,7,2,0,0,4,1,1,1,1,3,1,31,31,1,3,1,10,450,1084887,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1084887,0.148,0.097,1.533,0.356,0.421,0.437,0.858,846
2017,1,"Whitmer, Chad",28,Southern Ill.,MVC,Sr,P,15,15,15,3.46,104,102,47,40,26,95,0,434,397,30,4,0,7,7,3,0,0,0,4,4,94,111,6,3,0,17,659,1526890,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1526890,0.219,0.06,3.654,0.257,0.305,0.406,0.711,884
2014,1,"Glawe, James",15,San Jose St.,Mountain West,Sr,P,22,22,0,3.7,41.1,46,21,17,13,18,0,180,149,6,1,1,2,2,5,0,18,10,8,5,43,52,4,2,1,9,630,1420883,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1420883,0.1,0.072,1.385,0.309,0.372,0.403,0.775,5486
2013,1,"de Gruy, Jacques",34,Furman,SoCon,Jr,P,10,10,3,7.94,28.1,37,27,25,18,21,0,139,115,9,1,1,1,12,5,1,2,2,1,0,34,23,2,3,2,5,244,1315301,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1315301,0.151,0.129,1.167,0.322,0.435,0.443,0.878,912
2014,1,"Smith, Jordan",28,Western Caro.,SoCon,Sr,P,16,16,15,3.26,105,109,43,38,32,82,0,451,404,17,2,0,10,6,7,1,0,0,6,2,123,88,8,5,0,37,769,1199153,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1199153,0.182,0.071,2.562,0.27,0.333,0.396,0.729,912
2019,1,"Mulholland, Jake",38,Oregon St.,Pac-12,Jr,P,28,28,0,1.93,46.2,40,13,10,11,41,0,189,171,5,1,0,2,1,2,4,25,4,4,1,40,53,3,3,8,10,528,1885743,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1885743,0.217,0.058,3.727,0.234,0.286,0.31,0.596,905
2018,1,"Rukes, Garret",21,Alabama,SEC,Fr,P,13,13,13,3.6,30,26,14,12,14,24,0,130,107,4,0,0,2,2,3,0,0,0,4,2,23,38,1,3,0,6,8,1871445,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1871445,0.185,0.108,1.714,0.243,0.341,0.336,0.677,911
2018,1,"Gaddis, Hunter",22,Georgia St.,Sun Belt,So,P,17,17,15,2.95,100.2,95,41,33,24,98,1,424,383,24,1,0,6,7,10,0,3,0,5,2,89,100,9,4,0,28,254,1881668,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1881668,0.231,0.057,4.083,0.248,0.308,0.363,0.671,818
2018,1,"Burggraaf, Daniel",33,Army West Point,Patriot,Jr,P,17,17,11,2.9,62,49,27,20,25,83,1,267,230,6,1,0,5,7,7,0,7,3,4,0,32,66,7,3,3,29,725,1769748,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1769748,0.311,0.094,3.32,0.213,0.309,0.313,0.622,838
2014,1,"Bouman, Kyle",28,LSU,SEC,Jr,P,17,17,11,2.12,63.2,49,15,15,16,32,0,254,228,8,1,1,2,1,5,0,0,0,4,1,57,92,5,2,0,6,365,1542538,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1542538,0.126,0.063,2,0.215,0.28,0.285,0.565,911
2013,1,"Yardley, Eric",29,Seattle U,WAC,Sr,P,25,25,0,2.52,35.2,34,14,10,4,24,0,152,141,5,0,0,1,3,3,1,24,10,4,0,62,17,0,3,11,7,1356,1100204,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1100204,0.158,0.026,6,0.241,0.277,0.298,0.575,923
2015,1,"Britton, Tyler",4,High Point,Big South,Jr,P,16,16,5,3.53,43.1,48,29,17,17,31,0,191,168,10,2,0,1,1,3,0,6,1,1,2,39,48,3,1,1,12,19651,1649007,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1649007,0.162,0.089,1.824,0.286,0.358,0.387,0.745,826
2014,1,"Diaz, Chris",18,Miami (FL),ACC,Jr,P,16,16,16,2.41,101,88,34,27,41,86,0,432,373,16,1,0,1,13,8,0,0,0,9,1,157,46,9,1,0,19,415,1324679,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1324679,0.199,0.095,2.098,0.236,0.324,0.292,0.616,821
2016,1,"Tarver, Adam",26,Nicholls St.,Southland,Fr,P,21,21,1,7.48,27.2,30,30,23,13,26,0,132,107,3,0,0,0,8,6,0,12,7,5,1,28,22,2,1,0,10,483,1758523,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1758523,0.197,0.098,2,0.28,0.386,0.308,0.694,914
2018,1,"Weber, Ty",7,Illinois,Big Ten,So,P,15,15,15,3.84,82,75,44,35,32,53,0,353,306,14,1,0,9,8,6,1,0,0,6,2,94,87,4,3,0,12,301,1868366,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1868366,0.15,0.091,1.656,0.245,0.327,0.386,0.713,827
2016,1,"DeRosa, Joe",31,Iona,MAAC,So,P,14,14,9,2.54,60.1,49,22,17,17,26,0,255,218,10,0,0,4,2,11,1,1,1,4,5,81,66,3,3,0,12,310,1648792,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1648792,0.102,0.067,1.529,0.225,0.307,0.326,0.633,871
2014,1,"Giller, Kurt",34,Oral Roberts,Southland,Sr,P,16,16,12,4.61,68.1,75,40,35,25,54,1,308,276,16,2,1,2,5,5,0,8,5,1,1,76,68,3,4,0,21,527,1536182,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1536182,0.175,0.081,2.16,0.272,0.342,0.366,0.708,914
2017,1,"Ley, Mitchell",18,Purdue Fort Wayne,Summit League,Sr,P,14,14,8,5.93,57.2,69,45,38,29,36,0,274,233,17,0,0,6,5,5,4,0,0,7,0,73,51,2,4,1,6,308,1770139,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1770139,0.131,0.106,1.241,0.296,0.386,0.446,0.832,819
2015,1,"Edge, Tanner",40,Murray St.,OVC,So,P,19,19,1,9,39,70,50,39,36,30,0,226,180,13,4,1,5,6,6,2,20,15,4,0,52,29,0,2,1,7,454,1538293,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1538293,0.133,0.159,0.833,0.389,0.505,0.589,1.094,902
2014,1,"Vanderka, Frankie",23,Stony Brook,America East,Sr,P,12,12,12,3.33,81,65,31,30,22,49,2,327,288,12,1,0,3,1,10,0,0,0,6,1,95,85,4,5,0,20,683,1201035,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1201035,0.15,0.067,2.227,0.226,0.302,0.306,0.608,845
2019,1,"Barry, Nathan",52,Kansas,Big 12,Jr,P,31,31,1,4.25,36,41,19,17,10,28,0,158,144,8,1,0,1,7,1,2,24,6,2,1,33,44,5,1,1,5,328,2137822,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2137822,0.177,0.063,2.8,0.285,0.333,0.375,0.708,25354
2013,1,"Musgrave, Harrison",11,West Virginia,Big 12,So,P,14,14,14,2.17,95.1,65,24,23,29,81,3,385,330,7,2,1,4,2,12,1,0,0,8,5,58,136,9,1,0,23,768,1217319,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1217319,0.21,0.075,2.793,0.197,0.282,0.267,0.549,25354
2015,1,"Brunner, Sam",31,Dayton,Atlantic 10,Jr,P,19,19,0,6.62,34,41,30,25,17,34,0,167,137,13,2,0,0,4,4,2,15,4,5,4,22,46,0,4,5,5,175,1641316,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1641316,0.204,0.102,2,0.299,0.383,0.423,0.806,820
2015,1,"Aveytia, Alberto",7,Prairie View,SWAC,Jr,P,13,13,13,6.17,81.2,109,75,56,27,50,0,407,350,19,8,0,9,3,20,0,0,0,8,2,99,85,3,9,0,13,553,1661031,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1661031,0.123,0.066,1.852,0.311,0.391,0.489,0.88,916
2016,1,"Pop, Zach",52,Kentucky,SEC,So,P,19,19,6,5.21,38,36,25,22,17,24,0,163,137,5,0,0,1,7,4,0,10,1,3,2,57,21,0,2,0,5,334,1642977,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1642977,0.147,0.104,1.412,0.263,0.356,0.321,0.677,911
2019,1,"Dziados, Luke",14,Binghamton,America East,So,P,10,10,8,4.41,34.2,40,23,17,16,24,0,158,139,12,0,1,2,1,1,1,0,0,0,2,42,32,1,3,0,7,62,1990209,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1990209,0.152,0.101,1.5,0.288,0.361,0.417,0.778,845
2019,1,"Godman, Jaret",23,Oklahoma,Big 12,Fr,UT,21,19,2,3.56,43,36,19,17,17,35,0,179,158,8,0,1,5,2,3,0,15,6,0,1,46,41,3,0,0,15,522,2124612,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2124612,0.196,0.095,2.059,0.228,0.313,0.373,0.686,25354
2016,1,"Strickland, Beau",30,The Citadel,SoCon,So,P,24,24,0,6.58,26,28,19,19,7,20,0,118,106,4,1,0,6,0,4,2,24,9,0,1,28,28,0,0,0,8,141,1542987,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1542987,0.169,0.059,2.857,0.264,0.331,0.491,0.822,912
2018,1,"Farrell, Chris",13,William & Mary,CAA,So,P,14,14,13,4.44,52.2,56,31,26,30,37,0,245,198,11,2,0,3,12,12,0,1,1,3,2,67,41,2,5,0,14,786,1882329,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1882329,0.151,0.122,1.233,0.283,0.405,0.404,0.809,837
2017,1,"Peluse, Colin",8,Wake Forest,ACC,Fr,P,20,20,7,3.54,40.2,31,21,16,12,37,0,165,148,8,1,0,5,4,0,0,10,2,4,1,40,43,5,1,1,13,749,1875056,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1875056,0.224,0.073,3.083,0.209,0.267,0.378,0.645,821
2013,1,"Tiedemann, John",23,Hofstra,CAA,Sr,P,19,19,7,7.38,42.2,59,39,35,24,40,0,216,179,10,3,0,5,2,7,1,11,3,3,2,48,33,2,5,2,10,283,1300246,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1300246,0.185,0.111,1.667,0.33,0.425,0.503,0.928,837
2019,1,"Barton, Jacob",29,La.-Monroe,Sun Belt,Sr,P,13,13,6,7.87,42.1,42,42,37,28,39,0,201,155,7,0,0,3,6,13,2,2,2,1,4,35,42,1,4,2,14,498,1882016,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1882016,0.194,0.139,1.393,0.271,0.415,0.374,0.789,818
2013,1,"Duke, Travis",27,Texas,Big 12,Fr,P,27,27,0,1.53,35.1,27,16,6,13,25,0,151,127,4,0,1,0,1,8,1,19,6,3,0,52,20,4,1,0,16,703,1422951,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1422951,0.166,0.086,1.923,0.213,0.324,0.244,0.568,25354
2018,1,"LaMay, Ryan",12,Sacred Heart,NEC,Fr,P,8,8,6,5.4,28.1,38,28,17,12,27,0,139,124,6,3,0,4,1,1,0,0,0,2,0,28,27,1,2,0,10,590,1974394,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1974394,0.194,0.086,2.25,0.306,0.372,0.5,0.872,846
2016,1,"Christian, Jacob",14,UMBC,America East,Fr,P,16,16,8,4.17,49.2,44,25,23,19,38,0,216,192,9,2,0,2,2,3,0,4,4,1,1,45,63,3,1,0,12,391,1752978,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1752978,0.176,0.088,2,0.229,0.307,0.328,0.635,845
2018,1,"Barr, Bryce",19,Columbia,Ivy League,Sr,P,18,18,0,5.79,28,34,19,18,5,25,0,122,111,11,2,1,1,0,4,1,13,8,1,1,26,26,1,3,1,3,158,1646143,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1646143,0.205,0.041,5,0.306,0.355,0.468,0.823,865
2016,1,"Vey, Ben",13,Buffalo,MAC,So,1B,35,13,2,2.84,25.1,23,11,8,6,21,0,108,91,5,0,0,0,2,6,0,5,1,2,2,27,22,1,1,1,6,86,1641012,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1641012,0.194,0.056,3.5,0.253,0.333,0.308,0.641,875
2017,1,"Hill, Ryan",24,Maryland,Big Ten,Jr,P,29,29,2,5.01,46.2,46,30,26,25,55,0,215,180,11,1,1,4,6,5,2,31,9,2,3,31,49,4,2,1,11,392,1865529,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1865529,0.256,0.116,2.2,0.256,0.357,0.394,0.751,827
2015,1,"Ashbeck, Elliot",27,Bradley,MVC,Jr,P,53,17,17,3.55,101.1,104,50,40,24,82,1,436,390,15,0,0,8,5,9,1,0,0,6,7,89,117,11,5,0,21,72,1424022,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1424022,0.188,0.055,3.417,0.267,0.319,0.367,0.686,884
2015,1,"Lumsden, Ben",30,Mercer,SoCon,Sr,P,27,27,1,3.26,30.1,30,17,11,5,34,0,128,118,4,1,0,4,1,2,1,11,5,2,1,30,25,2,1,1,6,406,1315201,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1315201,0.266,0.039,6.8,0.254,0.294,0.407,0.701,912
2017,1,"Barry, Allen",42,Davidson,Atlantic 10,So,P,13,12,5,3.44,36.2,34,16,14,14,27,0,154,139,7,0,0,3,0,1,1,5,3,0,0,32,45,3,2,1,8,173,1767726,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1767726,0.175,0.091,1.929,0.245,0.318,0.36,0.678,820
2018,1,"Lincoln, Chris",35,UC Santa Barbara,Big West,So,P,19,19,11,3.49,69.2,64,34,27,27,54,0,305,266,12,1,0,2,4,7,0,6,1,2,3,70,78,2,3,0,9,104,1886094,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1886094,0.177,0.089,2,0.241,0.323,0.316,0.639,904
2019,1,"Nelson, Braydon",21,St. Bonaventure,Atlantic 10,So,P,12,12,12,6.11,73.2,79,59,50,28,73,0,340,293,4,2,0,6,8,13,0,0,0,5,1,87,51,2,6,0,16,596,1980994,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1980994,0.215,0.082,2.607,0.27,0.358,0.358,0.716,820
2019,1,"Gaddis, John",6,A&M-Corpus Christi,Southland,So,P,20,20,5,3.08,49.2,44,19,17,18,54,0,210,183,11,1,1,4,1,5,0,14,0,1,3,40,49,4,4,1,20,26172,1998282,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1998282,0.257,0.086,3,0.24,0.321,0.377,0.698,914
