"year","BA","OBP","SLG","school","K%","BB%","ISO","OPS","tourn_appearance","cws_appearance","cws_final","cws_champ","RC.PA","K-BB%","ERA","SO_PCT","BB_PCT","SO_BB_Ratio","FIP","BAA","OBPA","SLGA","OPSA","GO.O","FO.O","XB.PA","HR.PA","RBI.PA","SF.PA","SH.PA","DP.PA","R.PA","RA.BF","XBA.BF","HRA.BF","KL.BF"
2016,0.268,0.351,0.392,"Texas",0.197,0.097,0.124,0.743,0,0,0,0,0.114,0.1,4.08,0.192,0.088,2.184,4,0.263,0.339,0.364,0.703,0.366,0.305,0.068,0.015,0.122,0.01,0.034,0.018,0.134,0.123,0.053,0.014,0.052
2018,0.294,0.394,0.438,"Wright St.",0.137,0.113,0.144,0.832,1,0,0,0,0.144,0.024,3.8,0.194,0.097,1.995,4.13,0.239,0.329,0.356,0.685,0.357,0.312,0.076,0.018,0.168,0.018,0.009,0.017,0.184,0.115,0.062,0.017,0.052
2019,0.263,0.359,0.373,"Omaha",0.182,0.112,0.11,0.732,1,0,0,0,0.111,0.07,5.02,0.208,0.119,1.747,4.23,0.252,0.355,0.378,0.733,0.308,0.339,0.059,0.015,0.127,0.012,0.018,0.016,0.139,0.134,0.063,0.019,0.056
2018,0.286,0.393,0.429,"UCLA",0.182,0.118,0.143,0.822,1,0,0,0,0.133,0.064,3.08,0.186,0.081,2.302,4.12,0.234,0.31,0.357,0.667,0.343,0.353,0.075,0.017,0.15,0.017,0.018,0.014,0.165,0.1,0.063,0.02,0.048
2013,0.209,0.301,0.279,"Boston College",0.185,0.1,0.07,0.58,0,0,0,0,0.071,0.085,5.38,0.143,0.1,1.438,4.14,0.292,0.376,0.396,0.772,0.375,0.335,0.046,0.007,0.074,0.005,0.008,0.025,0.088,0.154,0.065,0.009,0.056
2019,0.239,0.33,0.313,"Purdue",0.19,0.091,0.074,0.643,0,0,0,0,0.084,0.099,4.43,0.226,0.099,2.282,4.1,0.259,0.35,0.381,0.731,0.283,0.326,0.044,0.005,0.092,0.007,0.02,0.022,0.107,0.135,0.062,0.019,0.056
2014,0.272,0.366,0.346,"North Dakota St.",0.152,0.103,0.074,0.712,1,0,0,0,0.104,0.049,4.33,0.17,0.097,1.753,4.03,0.278,0.363,0.362,0.725,0.37,0.321,0.047,0.004,0.122,0.006,0.024,0.019,0.146,0.124,0.05,0.008,0.047
2015,0.241,0.323,0.306,"San Jose St.",0.151,0.087,0.065,0.629,0,0,0,0,0.081,0.064,6.81,0.131,0.107,1.225,4.43,0.318,0.41,0.464,0.874,0.339,0.384,0.042,0.005,0.086,0.008,0.026,0.02,0.096,0.177,0.081,0.016,0.041
2015,0.29,0.377,0.42,"San Diego St.",0.165,0.095,0.13,0.797,1,0,0,0,0.127,0.07,4.15,0.2,0.084,2.394,3.97,0.272,0.344,0.387,0.731,0.368,0.281,0.068,0.018,0.143,0.009,0.022,0.018,0.156,0.122,0.066,0.014,0.048
2016,0.302,0.386,0.428,"Little Rock",0.164,0.103,0.126,0.814,0,0,0,0,0.137,0.061,6.2,0.158,0.119,1.331,4.35,0.29,0.397,0.411,0.808,0.365,0.33,0.07,0.017,0.151,0.011,0.025,0.02,0.166,0.161,0.068,0.013,0.043
